λ	T
400.0	0.00244
400.2	0.00326
400.4	0.00435
400.6	0.00481
400.8	0.0048
401.0	0.0048
401.2	0.00439
401.4	0.00316
401.6	0.00228
401.8	0.00164
402.0	0.00145
402.2	0.00131
402.4	0.00119
402.6	0.00125
402.8	0.00154
403.0	0.0019
403.2	0.00235
403.4	0.00309
403.6	0.00406
403.8	0.00533
404.0	0.00489
404.2	0.00394
404.4	0.00317
404.6	0.00249
404.8	0.00187
405.0	0.0014
405.2	0.00105
405.4	9.5937e-04
405.6	8.8095e-04
405.8	8.0895e-04
406.0	8.5041e-04
406.2	9.8599e-04
406.4	0.00114
406.6	0.00139
406.8	0.00203
407.0	0.00297
407.2	0.00435
407.4	0.00485
407.6	0.00508
407.8	0.00532
408.0	0.00485
408.2	0.0037
408.4	0.00282
408.6	0.00217
408.8	0.00201
409.0	0.00187
409.2	0.00174
409.4	0.0019
409.6	0.00227
409.8	0.0027
410.0	0.00315
410.2	0.00414
410.4	0.00547
410.6	0.00574
410.8	0.0058
411.0	0.00466
411.2	0.00346
411.4	0.00264
411.6	0.00205
411.8	0.0017
412.0	0.0015
412.2	0.00139
412.4	0.00137
412.6	0.00141
412.8	0.00157
413.0	0.0018
413.2	0.00226
413.4	0.00287
413.6	0.00402
413.8	0.00563
414.0	0.00652
414.2	0.00746
414.4	0.00629
414.6	0.00498
414.8	0.00385
415.0	0.00294
415.2	0.00244
415.4	0.00214
415.6	0.002
415.8	0.002
416.0	0.00212
416.2	0.00246
416.4	0.00296
416.6	0.00394
416.8	0.00522
417.0	0.00675
417.2	0.0086
417.4	0.00762
417.6	0.00674
417.8	0.00486
418.0	0.00345
418.2	0.00263
418.4	0.00205
418.6	0.00174
418.8	0.00154
419.0	0.00147
419.2	0.00147
419.4	0.00158
419.6	0.00181
419.8	0.00216
420.0	0.00279
420.2	0.00368
420.4	0.00487
420.6	0.00605
420.8	0.00606
421.0	0.00607
421.2	0.00489
421.4	0.00356
421.6	0.00263
421.8	0.00206
422.0	0.00162
422.2	0.00139
422.4	0.00125
422.6	0.00114
422.8	0.00117
423.0	0.00119
423.2	0.0013
423.4	0.0015
423.6	0.00173
423.8	0.00211
424.0	0.00258
424.2	0.00289
424.4	0.00294
424.6	0.00299
424.8	0.00253
425.0	0.00212
425.2	0.00172
425.4	0.00143
425.6	0.00118
425.8	0.00107
426.0	9.8128e-04
426.2	9.4335e-04
426.4	9.8966e-04
426.6	0.001
426.8	0.00106
427.0	0.00119
427.2	0.00135
427.4	0.0016
427.6	0.0019
427.8	0.00202
428.0	0.00208
428.2	0.00238
428.4	0.00213
428.6	0.00191
428.8	0.00165
429.0	0.0014
429.2	0.0012
429.4	0.00113
429.6	0.00107
429.8	9.2745e-04
430.0	9.2265e-04
430.2	9.8555e-04
430.4	0.00105
430.6	0.00112
430.8	0.0012
431.0	0.00128
431.2	0.00132
431.4	0.00125
431.6	0.00118
431.8	0.00112
432.0	0.00106
432.2	0.001
432.4	9.475e-04
432.6	8.9708e-04
432.8	8.5295e-04
433.0	8.1221e-04
433.2	7.7341e-04
433.4	7.3646e-04
433.6	7.0128e-04
433.8	6.6778e-04
434.0	6.3589e-04
434.2	6.2006e-04
434.4	6.9548e-04
434.6	7.8008e-04
434.8	8.7497e-04
435.0	9.814e-04
435.2	0.00119
435.4	0.00155
435.6	0.00202
435.8	0.00244
436.0	0.00293
436.2	0.00289
436.4	0.00275
436.6	0.00236
436.8	0.00196
437.0	0.00165
437.2	0.00141
437.4	0.00126
437.6	0.00117
437.8	0.00112
438.0	0.00112
438.2	0.00114
438.4	0.00122
438.6	0.00131
438.8	0.00147
439.0	0.00164
439.2	0.00179
439.4	0.00195
439.6	0.00196
439.8	0.00196
440.0	0.00184
440.2	0.00171
440.4	0.00157
440.6	0.00144
440.8	0.00136
441.0	0.0013
441.2	0.0013
441.4	0.00134
441.6	0.00144
441.8	0.00162
442.0	0.00188
442.2	0.00232
442.4	0.00286
442.6	0.0035
442.8	0.0042
443.0	0.00405
443.2	0.0039
443.4	0.00301
443.6	0.00231
443.8	0.00177
444.0	0.00136
444.2	0.0011
444.4	9.1464e-04
444.6	8.0491e-04
444.8	7.3134e-04
445.0	7.1032e-04
445.2	6.8544e-04
445.4	7.0941e-04
445.6	7.6371e-04
445.8	8.2216e-04
446.0	9.673e-04
446.2	0.00119
446.4	0.00145
446.6	0.00173
446.8	0.00203
447.0	0.00239
447.2	0.00214
447.4	0.00176
447.6	0.00146
447.8	0.0011
448.0	8.2012e-04
448.2	6.0993e-04
448.4	5.0018e-04
448.6	4.1621e-04
448.8	3.4634e-04
449.0	3.1736e-04
449.2	2.9325e-04
449.4	2.7097e-04
449.6	2.6973e-04
449.8	2.6922e-04
450.0	2.6912e-04
450.2	2.9735e-04
450.4	3.2854e-04
450.6	3.6548e-04
450.8	4.5247e-04
451.0	5.6016e-04
451.2	7.0341e-04
451.4	9.9089e-04
451.6	0.0014
451.8	0.00191
452.0	0.00225
452.2	0.00266
