λ;T
900;0,00371
899;0,00275
898;0,00265
897;0,00233
896;0,00583
895;0,01632
894;0,01007
893;0,02447
892;0,05921
891;0,03857
890;0,00689
889;0,04049
888;0,03953
887;0,01399
886;0,02448
885;0,0301
884;0,01272
883;0,00848
882;0,00827
881;0,01718
880;0,00424
879;0,00223
878;0,00106
877;0,00923
876;0,01655
875;0,01888
874;0,0211
873;0,01856
872;0,00286
871;0,03438
870;0,01295
869;0,00127
868;0,01433
867;0,038
866;0,03406
865;0,00318
864;0,04343
863;0,00181
862;0,02081
861;0,00892
860;0,00905
859;0,00669
858;0,00575
857;0,00638
856;0,0092
855;0,00669
854;0,0115
853;0,01212
852;0,00993
851;0,01035
850;0,01432
849;0,01713
848;0,02131
847;0,02067
846;0,02475
845;0,03206
844;0,03349
843;0,03555
842;0,04219
841;0,04538
840;0,05194
839;0,06512
838;0,07336
837;0,08378
836;0,09848
835;0,11441
834;0,13487
833;0,16397
832;0,19333
831;0,23284
830;0,2832
829;0,34798
828;0,43061
827;0,54628
826;0,698
825;0,90975
824;1,19029
823;1,57982
822;2,13681
821;2,94532
820;4,15997
819;6,02875
818;8,91354
817;13,27654
816;19,5773
815;27,86912
814;36,94855
813;45,32858
812;51,54601
811;54,95726
810;55,71439
809;53,76967
808;48,94778
807;41,51405
806;32,49956
805;23,65471
804;16,48113
803;11,25109
802;7,67905
801;5,30638
800;3,72271
799;2,64954
798;1,92242
797;1,42737
796;1,07051
795;0,823
794;0,64853
793;0,51329
792;0,41469
791;0,34012
790;0,27653
789;0,22773
788;0,19346
787;0,16132
786;0,13835
785;0,12074
784;0,09913
783;0,08599
782;0,07755
781;0,06494
780;0,05948
779;0,05505
778;0,046
777;0,03931
776;0,03952
775;0,03126
774;0,03064
773;0,02951
772;0,02456
771;0,02035
770;0,02335
769;0,01663
768;0,01911
767;0,01735
766;0,01498
765;0,01375
764;0,0154
763;0,00951
762;0,01282
761;0,01013
760;0,00931
759;0,00703
758;0,012
757;0,00558
756;0,01086
755;0,00672
754;0,00683
753;0,00362
752;0,00994
751;9,32E-04
750;0,00745
749;0,00476
748;0,00528
747;3,11E-04
746;0,00829
745;0,00155
744;0,00787
743;0,00207
742;0,00352
741;0
740;0,00602
739;1,04E-04
738;0,00477
737;0,00239
736;0,00125
735;5,19E-04
734;0,00685
733;5,19E-04
732;0,00239
731;0,00384
730;6,23E-04
729;0,00166
728;0,00613
727;2,08E-04
726;0,00364
725;0,00301
724;1,04E-04
723;0,00177
722;0,00353
721;0,00145
720;8,31E-04
719;0,00239
718;3,12E-04
717;0,00156
716;0,0027
715;0,00656
714;0,00177
713;0,00208
712;0,00167
711;2,08E-04
710;0,00292
709;0,00625
708;0,00375
707;0,00177
706;3,12E-04
705;7,29E-04
704;0,00396
703;0,00771
702;0,00177
701;0,00219
700;0,00198
699;5,21E-04
698;0,00125
697;0,00177
696;0,00448
695;0,00209
694;0,00209
693;5,21E-04
692;0
691;0,00626
690;0,00375
689;9,39E-04
688;0,0024
687;7,31E-04
686;0,00115
685;6,26E-04
684;0,00125
683;0,00198
682;0,00271
681;5,22E-04
680;0,00198
679;0,00146
678;0,00125
677;0,00282
676;0,0024
675;8,36E-04
674;0,00146
673;5,22E-04
672;1,04E-04
671;0,00314
670;0,00272
669;0
668;0,00199
667;0,00199
666;0,00167
665;0,00146
664;0,00157
663;7,32E-04
662;0,00241
661;0,00282
660;0,00167
659;0
658;0,00188
657;0,00241
656;0,00168
655;0,00157
654;0,00398
653;3,14E-04
652;1,05E-04
651;0,0023
650;0,00314
649;0,00408
648;6,28E-04
647;7,33E-04
646;2,09E-04
645;4,19E-04
644;0,00283
643;0,00136
642;0,00251
641;8,38E-04
640;1,05E-04
639;7,34E-04
638;0,00398
637;0,0021
636;0,00314
635;0,00105
634;8,39E-04
633;5,24E-04
632;0,0022
631;0,00262
630;0,00273
629;3,15E-04
628;1,05E-04
627;0,00168
626;0,00231
625;0,00252
624;8,39E-04
623;0,00262
622;0,00126
621;5,25E-04
620;0
619;0,00378
618;0,00168
617;0,00136
616;0,00252
615;0,00116
614;0,00136
613;0,00126
612;0,00115
611;0,00178
610;0,00178
609;3,15E-04
608;0,00189
607;9,45E-04
606;4,20E-04
605;0,00189
604;0,00116
