λ;T
900;91,063831
895;91,060004
890;91,032787
885;91,037956
880;91,037648
875;91,038263
870;91,055679
865;91,050351
860;91,04754
855;90,9792
850;90,87538
845;90,850534
840;90,890839
835;90,891939
830;90,906557
825;90,899955
820;90,882378
815;90,905502
810;90,902358
805;90,899794
800;90,928215
795;90,932136
790;90,934321
785;90,932294
780;90,91537
775;90,93927
770;90,98674
765;90,985322
760;90,950193
755;90,966339
750;91,016993
745;91,03909
740;91,028463
735;91,025198
730;91,05898
725;91,075253
720;91,056127
715;91,077324
710;91,123535
705;91,133949
700;91,103158
695;91,102265
690;91,129528
685;91,14406
680;91,142134
675;91,15474
670;91,16528
665;91,155992
660;91,132235
655;91,12249
650;91,13652
645;91,144764
640;91,125119
635;91,152501
630;91,154742
625;91,069833
620;90,991664
615;90,944455
610;90,861604
605;90,741889
600;90,510816
595;90,180767
590;89,717546
585;89,006673
580;87,925592
575;86,209541
570;83,438121
565;78,920806
560;71,469185
555;59,473091
550;42,214158
545;22,571846
540;7,668459
535;1,351957
530;0,097471
525;0,000311
520;-0,000519
515;0,000623
510;0,000104
505;-0,001245
500;-0,00083
495;-0,000415
490;-0,001658
485;-0,001554
480;0,000207
475;-0,000414
470;-0,001554
465;-0,001658
460;-0,001555
455;0,000207
450;-0,000104
445;-0,001348
440;-0,002697
435;-0,001141
430;-0,001972
425;-0,001454
420;-0,002078
415;-0,001455
410;0,00052
405;-0,000416
400;-0,00312
