λ;Rus0_46muM_bdc;Rus4_6muM_bdc;Rus46muM_bdc;Rus460muM_bdc;Rus0_46muM_adc;Rus4_6muM_adc;Rus46muM_adc;Rus460muM_adc
800;0;0;0;0;0;0;0;0
799;-8,70912E-05;-7,68122E-05;2,87814E-05;-3,88012E-05;1,06505E-05;4,12536E-05;-7,33207E-05;-2,83383E-05
798;-0,00014985;-0,000111425;-6,18803E-05;-0,000118682;-9,4003E-05;-5,47944E-06;-0,000162486;-8,44542E-05
797;-0,000111151;-4,88618E-06;2,56817E-05;6,78748E-06;6,5384E-05;-1,34634E-05;-0,000118746;3,52729E-05
796;-0,000202772;-0,000113358;-0,000134115;-8,50959E-05;-8,6697E-05;-6,63474E-05;-0,000223915;-0,000104695
795;-0,000140383;-6,82171E-05;-7,89114E-05;-5,49261E-05;-6,46228E-05;-6,89041E-05;-0,000101942;8,43499E-06
794;-0,000165888;-2,17389E-05;-4,70101E-05;-1,80202E-05;-4,21588E-05;-3,91626E-05;-9,81344E-05;-2,75206E-05
793;-0,000131794;4,01358E-05;6,95419E-06;4,61717E-05;-4,09427E-06;8,2955E-05;-0,000125126;2,83653E-05
792;-8,30035E-05;0,000116158;2,77134E-05;0,000142425;6,18075E-05;9,08363E-05;-4,54346E-06;0,000167795
791;-0,000120619;1,70362E-05;3,68301E-05;4,93554E-05;3,03714E-05;3,84354E-05;-4,42248E-05;8,61306E-05
790;-0,000167026;8,17841E-06;-8,37031E-05;5,51436E-05;-6,13841E-05;-1,3646E-05;-6,98543E-05;8,51285E-05
789;-0,000143642;2,69921E-05;-7,53438E-05;2,47825E-05;-2,61456E-05;-2,33259E-05;-9,54564E-05;1,90595E-05
788;-0,000110426;0,00010181;4,93594E-05;0,00012082;2,78576E-05;5,20309E-05;-2,87574E-05;0,000137892
787;-0,000159266;5,00395E-05;-9,01194E-06;9,83216E-05;-1,47962E-05;2,92242E-05;-0,000144266;8,91369E-05
786;-0,000139555;9,27672E-05;4,10238E-05;7,45086E-05;4,55579E-05;-7,95815E-06;-2,47653E-05;0,000188076
785;-0,0002636;4,77661E-05;-4,27151E-06;6,99307E-05;-4,50867E-05;-1,40909E-06;-8,05678E-05;5,81304E-05
784;-0,000160714;0,000118484;3,37826E-05;0,000129346;-1,13758E-05;6,39828E-05;4,99557E-05;0,000135755
783;-0,000196616;0,000181843;8,23033E-06;0,00020943;3,76794E-05;5,58931E-05;8,84375E-05;0,000141425
782;-0,000166095;0,000158631;4,62076E-05;0,000121136;4,64908E-05;9,85353E-05;2,09585E-05;0,000232516
781;-0,000209548;0,00011046;5,51683E-05;0,000175821;3,79905E-05;0,000128001;2,60277E-05;0,000209306
780;-0,000216842;0,000118092;2,54733E-05;0,000175637;-1,05465E-05;1,96218E-05;8,4308E-06;0,000197491
779;-0,000178304;0,000136048;3,08391E-05;0,000141741;-3,95418E-05;9,52729E-05;-9,22526E-05;0,000180244
778;-0,000173803;0,000184195;4,67284E-05;0,000165689;-6,80946E-05;2,67974E-05;-1,15293E-05;0,000227584
777;-0,000159214;0,000198259;8,72358E-05;0,000255177;4,19797E-06;0,000141521;5,03757E-05;0,000308009
776;-0,000150523;0,000234648;0,000181212;0,00024141;8,49963E-06;0,000103494;6,94194E-05;0,000237264
775;-0,000122844;0,000225054;7,52786E-05;0,000250834;2,76762E-05;0,000162402;8,34465E-05;0,000370086
774;-0,000197909;0,00021444;8,38232E-05;0,000250728;-3,67434E-05;6,72447E-05;1,18976E-05;0,000291549
773;-0,000167078;0,000239275;0,000187804;0,000256388;7,05415E-05;0,000109157;0,000102622;0,000334786
772;-0,000146901;0,000275616;0,000168705;0,000228249;-1,97195E-05;0,00011409;6,31679E-05;0,000305872
771;-0,000111203;0,000349117;0,000217015;0,000318277;3,31961E-05;0,000112446;3,69539E-05;0,000338453
770;-0,000198944;0,00021546;0,000164692;0,000271945;-4,36875E-05;0,000130011;-8,58773E-06;0,000348847
769;-0,000147729;0,000308822;0,000205471;0,000269155;-2,18702E-05;0,000161071;6,86836E-05;0,000294081
768;-0,000148246;0,000252844;0,000164796;0,00025773;-2,76744E-05;5,84242E-05;3,71379E-05;0,000335446
767;-0,00010458;0,000266701;0,000193328;0,000259073;-6,20059E-05;0,000102189;5,95953E-05;0,000347396
766;-9,52665E-05;0,000357747;0,000211048;0,000289477;-1,27232E-05;0,000142696;8,6362E-05;0,000373754
765;-5,60964E-05;0,000395954;0,000249433;0,000377463;-8,29215E-06;0,000182945;0,000137562;0,00038779
764;-0,000125068;0,000350555;0,000207087;0,000322621;-5,57876E-05;8,06584E-05;1,06106E-05;0,0003131
763;-0,000183787;0,000401786;0,000235465;0,000303298;-8,26294E-05;0,000121841;8,05045E-05;0,000399188
