λ;QUARTZ_Rusilatrane_A
420;1,02E+04
422;2,81E+03
424;1,56E+03
426;1,52E+03
428;1,55E+03
430;1,44E+03
432;1,52E+03
434;1,49E+03
436;1,49E+03
438;1,55E+03
440;1,62E+03
442;1,87E+03
444;1,63E+03
446;1,67E+03
448;1,59E+03
450;1,53E+03
452;1,40E+03
454;1,37E+03
456;1,40E+03
458;1,17E+03
460;1,04E+03
462;9,74E+02
464;1,05E+03
466;9,92E+02
468;1,02E+03
470;1,06E+03
472;9,66E+02
474;9,47E+02
476;9,99E+02
478;9,78E+02
480;9,07E+02
482;8,39E+02
484;8,74E+02
486;7,64E+02
488;6,89E+02
490;6,54E+02
492;7,27E+02
494;6,58E+02
496;5,41E+02
498;4,61E+02
500;4,41E+02
502;4,30E+02
504;4,43E+02
506;3,99E+02
508;3,68E+02
510;3,61E+02
512;3,70E+02
514;3,45E+02
516;2,69E+02
518;3,04E+02
520;2,79E+02
522;2,85E+02
524;2,25E+02
526;2,75E+02
528;2,45E+02
530;2,66E+02
532;2,37E+02
534;3,30E+02
536;4,84E+02
538;6,01E+02
540;6,64E+02
542;7,02E+02
544;8,14E+02
546;6,75E+02
548;7,14E+02
550;5,70E+02
552;5,26E+02
554;4,84E+02
556;2,55E+02
558;2,40E+02
560;2,85E+02
562;2,38E+02
564;2,58E+02
566;3,05E+02
568;2,83E+02
570;3,22E+02
572;4,14E+02
574;4,95E+02
576;5,94E+02
578;7,89E+02
580;9,57E+02
582;1,04E+03
584;1,21E+03
586;1,42E+03
588;1,63E+03
590;2,00E+03
592;2,00E+03
594;2,47E+03
596;3,14E+03
598;3,41E+03
600;3,91E+03
602;4,87E+03
604;5,42E+03
606;6,44E+03
608;7,35E+03
610;8,57E+03
612;9,32E+03
614;9,97E+03
616;1,21E+04
618;1,29E+04
620;1,38E+04
622;1,57E+04
624;1,68E+04
626;1,93E+04
628;2,06E+04
630;2,24E+04
632;2,53E+04
634;2,66E+04
636;2,89E+04
638;3,13E+04
640;3,27E+04
642;3,54E+04
644;3,76E+04
646;3,97E+04
648;4,13E+04
650;4,30E+04
652;4,48E+04
654;4,80E+04
656;4,81E+04
658;5,14E+04
660;5,30E+04
662;5,39E+04
664;5,38E+04
666;5,44E+04
668;5,87E+04
670;5,75E+04
672;5,73E+04
674;5,69E+04
676;5,68E+04
678;5,57E+04
680;5,48E+04
682;5,52E+04
684;5,49E+04
686;5,49E+04
688;5,65E+04
690;5,47E+04
692;5,35E+04
694;5,48E+04
696;5,33E+04
698;5,14E+04
700;5,20E+04
702;5,27E+04
704;5,12E+04
706;4,96E+04
708;4,98E+04
710;5,00E+04
712;4,97E+04
714;4,88E+04
716;4,82E+04
718;4,60E+04
720;4,79E+04
722;4,70E+04
724;4,40E+04
726;4,48E+04
728;4,26E+04
730;4,24E+04
732;4,34E+04
734;4,15E+04
736;4,17E+04
738;4,06E+04
740;3,92E+04
742;3,69E+04
744;3,75E+04
746;3,65E+04
748;3,62E+04
750;3,67E+04
752;3,46E+04
754;3,31E+04
756;3,25E+04
758;3,12E+04
760;3,13E+04
762;2,97E+04
764;2,79E+04
766;2,84E+04
768;2,77E+04
770;2,70E+04
772;2,60E+04
774;2,60E+04
776;2,49E+04
778;2,62E+04
780;2,34E+04
782;2,28E+04
784;1,89E+04
786;2,01E+04
788;2,12E+04
790;2,10E+04
792;1,90E+04
794;2,00E+04
796;1,77E+04
798;1,78E+04
800;1,59E+04
802;1,71E+04
804;1,62E+04
806;1,44E+04
808;1,66E+04
810;1,44E+04
812;1,48E+04
814;1,47E+04
816;1,28E+04
818;1,19E+04
820;1,26E+04
822;1,36E+04
824;1,18E+04
826;1,30E+04
828;1,12E+04
830;1,15E+04
832;1,21E+04
834;1,15E+04
836;8,92E+03
838;1,10E+04
840;1,04E+04
842;9,74E+03
844;9,74E+03
846;8,58E+03
848;8,38E+03
850;7,76E+03
852;8,76E+03
854;6,55E+03
856;7,29E+03
858;5,94E+03
860;6,94E+03
862;7,22E+03
864;6,07E+03
866;5,73E+03
868;5,05E+03
870;6,04E+03
872;6,57E+03
874;3,79E+03
876;5,12E+03
878;5,32E+03
880;4,68E+03
882;4,10E+03
884;3,98E+03
886;7,12E+03
888;4,37E+03
890;5,04E+03
892;6,49E+02
894;1,06E+04
896;9,66E+03
898;0,00E+00
900;0,00E+00
