λ;Ru_SLC;Ru_Quartz
130;4,70E+03;3,55E+03
140;4,41E+03;3,50E+03
150;3,74E+03;3,44E+03
160;3,36E+03;3,39E+03
170;3,18E+03;3,34E+03
180;3,16E+03;3,28E+03
190;3,37E+03;3,23E+03
200;3,51E+03;3,18E+03
210;3,84E+03;3,13E+03
220;3,91E+03;3,08E+03
230;3,71E+03;3,04E+03
240;3,17E+03;2,99E+03
250;2,71E+03;2,94E+03
260;2,16E+03;2,90E+03
270;2,58E+03;2,85E+03
280;2,92E+03;2,81E+03
290;3,41E+03;2,77E+03
300;3,28E+03;2,72E+03
310;3,25E+03;2,68E+03
320;2,58E+03;2,64E+03
330;2,29E+03;2,60E+03
340;2,11E+03;2,56E+03
350;2,19E+03;2,52E+03
360;2,49E+03;2,48E+03
370;2,66E+03;2,44E+03
380;2,64E+03;2,41E+03
390;2,66E+03;2,37E+03
400;2,49E+03;2,33E+03
410;2,11E+03;2,30E+03
420;1,89E+03;2,26E+03
430;1,90E+03;2,23E+03
440;1,98E+03;2,19E+03
450;2,24E+03;2,16E+03
460;2,46E+03;2,13E+03
470;2,49E+03;2,09E+03
480;2,09E+03;2,06E+03
490;1,88E+03;2,03E+03
500;1,60E+03;2,00E+03
510;1,56E+03;1,97E+03
520;1,58E+03;1,94E+03
530;1,86E+03;1,91E+03
540;2,07E+03;1,88E+03
550;2,11E+03;1,85E+03
560;1,85E+03;1,83E+03
570;1,71E+03;1,80E+03
580;1,57E+03;1,77E+03
590;1,43E+03;1,74E+03
600;1,53E+03;1,72E+03
610;1,48E+03;1,69E+03
620;1,69E+03;1,67E+03
630;1,64E+03;1,64E+03
640;1,65E+03;1,62E+03
650;1,57E+03;1,59E+03
660;1,47E+03;1,57E+03
670;1,49E+03;1,55E+03
680;1,44E+03;1,52E+03
690;1,50E+03;1,50E+03
700;1,43E+03;1,48E+03
710;1,48E+03;1,46E+03
720;1,39E+03;1,44E+03
730;1,32E+03;1,41E+03
740;1,31E+03;1,39E+03
750;1,21E+03;1,37E+03
760;1,27E+03;1,35E+03
770;1,35E+03;1,33E+03
780;1,35E+03;1,31E+03
790;1,31E+03;1,29E+03
800;1,22E+03;1,28E+03
810;1,20E+03;1,26E+03
820;1,11E+03;1,24E+03
830;1,09E+03;1,22E+03
840;1,12E+03;1,20E+03
850;1,19E+03;1,19E+03
860;1,18E+03;1,17E+03
870;1,13E+03;1,15E+03
880;1,14E+03;1,13E+03
890;1,10E+03;1,12E+03
900;1,11E+03;1,10E+03
910;9,89E+02;1,09E+03
920;9,87E+02;1,07E+03
930;9,59E+02;1,06E+03
940;1,01E+03;1,04E+03
950;1,05E+03;1,03E+03
960;1,01E+03;1,01E+03
970;9,50E+02;9,97E+02
980;9,94E+02;9,83E+02
990;9,14E+02;9,69E+02
1000;9,20E+02;9,55E+02
1010;8,84E+02;9,42E+02
1020;9,45E+02;9,29E+02
1030;8,84E+02;9,16E+02
1040;8,85E+02;9,03E+02
1050;8,81E+02;8,90E+02
1060;8,64E+02;8,78E+02
1070;8,76E+02;8,66E+02
1080;8,75E+02;8,54E+02
1090;8,42E+02;8,42E+02
1100;8,15E+02;8,30E+02
1110;8,43E+02;8,19E+02
1120;7,31E+02;8,08E+02
1130;7,75E+02;7,97E+02
1140;7,85E+02;7,86E+02
1150;7,56E+02;7,75E+02
1160;7,48E+02;7,64E+02
1170;7,55E+02;7,54E+02
1180;7,56E+02;7,44E+02
1190;7,24E+02;7,34E+02
1200;7,70E+02;7,24E+02
1210;6,91E+02;7,14E+02
1220;7,42E+02;7,05E+02
1230;6,29E+02;6,95E+02
1240;6,98E+02;6,86E+02
1250;7,46E+02;6,77E+02
1260;6,60E+02;6,68E+02
1270;6,72E+02;6,59E+02
1280;6,78E+02;6,51E+02
1290;6,23E+02;6,42E+02
1300;6,28E+02;6,34E+02
1310;6,46E+02;6,26E+02
1320;6,04E+02;6,17E+02
1330;6,76E+02;6,09E+02
1340;5,82E+02;6,02E+02
1350;5,96E+02;5,94E+02
1360;6,17E+02;5,86E+02
1370;5,48E+02;5,79E+02
1380;5,83E+02;5,71E+02
1390;5,49E+02;5,64E+02
1400;5,68E+02;5,57E+02
1410;5,33E+02;5,50E+02
1420;5,46E+02;5,43E+02
1430;5,92E+02;5,36E+02
1440;5,21E+02;5,30E+02
1450;5,25E+02;5,23E+02
1460;5,51E+02;5,17E+02
1470;5,35E+02;5,10E+02
1480;5,27E+02;5,04E+02
1490;5,46E+02;4,98E+02
1500;4,97E+02;4,92E+02
1510;5,34E+02;4,86E+02
1520;5,18E+02;4,80E+02
1530;5,00E+02;4,74E+02
1540;4,81E+02;4,69E+02
1550;4,80E+02;4,63E+02
1560;4,70E+02;4,57E+02
1570;4,60E+02;4,52E+02
1580;4,31E+02;4,47E+02
1590;4,76E+02;4,42E+02
1600;4,50E+02;4,36E+02
1610;5,03E+02;4,31E+02
1620;4,49E+02;4,26E+02
1630;4,33E+02;4,21E+02
1640;4,48E+02;4,17E+02
1650;4,19E+02;4,12E+02
1660;4,08E+02;4,07E+02
1670;4,13E+02;4,03E+02
1680;3,86E+02;3,98E+02
1690;4,14E+02;3,94E+02
1700;4,06E+02;3,89E+02
1710;4,05E+02;3,85E+02
1720;3,97E+02;3,81E+02
1730;4,21E+02;3,77E+02
1740;3,69E+02;3,73E+02
1750;3,84E+02;3,68E+02
1760;3,87E+02;3,65E+02
1770;3,79E+02;3,61E+02
1780;3,35E+02;3,57E+02
1790;3,59E+02;3,53E+02
1800;3,45E+02;3,49E+02
1810;3,72E+02;3,46E+02
1820;3,63E+02;3,42E+02
1830;3,23E+02;3,39E+02
1840;3,91E+02;3,35E+02
1850;3,25E+02;3,32E+02
1860;3,32E+02;3,28E+02
1870;3,68E+02;3,25E+02
1880;3,46E+02;3,22E+02
1890;3,55E+02;3,18E+02
1900;3,63E+02;3,15E+02
1910;3,87E+02;3,12E+02
1920;3,16E+02;3,09E+02
1930;3,28E+02;3,06E+02
1940;3,54E+02;3,03E+02
1950;3,24E+02;3,00E+02
1960;3,06E+02;2,97E+02
1970;3,35E+02;2,95E+02
1980;3,29E+02;2,92E+02
1990;3,02E+02;2,89E+02
2000;2,96E+02;2,86E+02
2010;3,00E+02;2,84E+02
2020;3,05E+02;2,81E+02
2030;2,97E+02;2,79E+02
2040;2,93E+02;2,76E+02
2050;3,15E+02;2,74E+02
2060;2,80E+02;2,71E+02
2070;2,85E+02;2,69E+02
2080;2,64E+02;2,66E+02
2090;2,91E+02;2,64E+02
2100;2,57E+02;2,62E+02
2110;2,79E+02;2,60E+02
2120;2,71E+02;2,57E+02
2130;2,76E+02;2,55E+02
2140;2,54E+02;2,53E+02
2150;2,65E+02;2,51E+02
2160;2,66E+02;2,49E+02
2170;2,52E+02;2,47E+02
2180;2,85E+02;2,45E+02
2190;2,59E+02;2,43E+02
2200;2,49E+02;2,41E+02
2210;2,63E+02;2,39E+02
2220;2,26E+02;2,37E+02
2230;2,65E+02;2,35E+02
2240;2,57E+02;2,33E+02
2250;2,53E+02;2,32E+02
2260;2,06E+02;2,30E+02
2270;2,49E+02;2,28E+02
2280;2,44E+02;2,27E+02
2290;2,21E+02;2,25E+02
2300;2,27E+02;2,23E+02
2310;2,19E+02;2,22E+02
2320;2,34E+02;2,20E+02
2330;2,34E+02;2,18E+02
2340;1,99E+02;2,17E+02
2350;2,13E+02;2,15E+02
2360;2,29E+02;2,14E+02
2370;2,26E+02;2,12E+02
2380;2,37E+02;2,11E+02
2390;2,28E+02;2,10E+02
2400;2,12E+02;2,08E+02
2410;1,83E+02;2,07E+02
2420;2,12E+02;2,05E+02
2430;2,44E+02;2,04E+02
2440;2,16E+02;2,03E+02
2450;2,12E+02;2,01E+02
2460;2,01E+02;2,00E+02
2470;2,03E+02;1,99E+02
2480;2,32E+02;1,98E+02
2490;2,36E+02;1,96E+02
2500;2,27E+02;1,95E+02
2510;1,88E+02;1,94E+02
2520;2,22E+02;1,93E+02
2530;1,96E+02;1,92E+02
2540;1,88E+02;1,91E+02
2550;2,11E+02;1,90E+02
2560;1,96E+02;1,89E+02
2570;2,06E+02;1,87E+02
2580;1,95E+02;1,86E+02
2590;1,86E+02;1,85E+02
2600;1,88E+02;1,84E+02
2610;2,06E+02;1,83E+02
2620;2,02E+02;1,82E+02
2630;1,96E+02;1,81E+02
2640;1,86E+02;1,81E+02
2650;1,81E+02;1,80E+02
2660;1,99E+02;1,79E+02
2670;1,56E+02;1,78E+02
2680;1,94E+02;1,77E+02
2690;1,68E+02;1,76E+02
2700;1,64E+02;1,75E+02
2710;1,98E+02;1,74E+02
2720;1,80E+02;1,73E+02
2730;1,83E+02;1,73E+02
2740;1,91E+02;1,72E+02
2750;1,74E+02;1,71E+02
2760;1,56E+02;1,70E+02
