W;BOLD055_A;BOLD062_A;BOLD062_B;BOLD062_C
600;0,000885478;-0,000299052;-0,000192107;-0,000240201
598;0,000892919;-0,000280629;-0,000186974;-0,000227653
596;0,0008922;-0,000226165;-0,000199138;-0,000213643
594;0,001015736;-7,58121E-05;-7,38505E-05;-8,15733E-05
592;0,000902172;-0,000154856;-0,000200393;-0,000173523
590;0,000906839;-0,000142821;-0,00020142;-0,000153529
588;0,000921979;-0,000123539;-0,000202707;-0,000138082
586;0,000924108;-0,000114562;-0,000194317;-0,000134315
584;0,000940382;-0,000104588;-0,000194418;-0,000116717
582;0,00095869;-9,22346E-05;-0,000180185;-9,68294E-05
580;0,00098141;-7,81002E-05;-0,000163567;-7,48769E-05
578;0,000988741;-6,98899E-05;-0,000162139;-7,25101E-05
576;0,001182503;0,000125963;3,30298E-05;0,00012281
574;0,001008972;-5,44313E-05;-0,000149473;-5,96249E-05
572;0,001032226;-4,35638E-05;-0,000136404;-3,9374E-05
570;0,001038225;-5,1626E-05;-0,000144368;-5,23234E-05
568;0,001054309;-3,90099E-05;-0,000141105;-3,81177E-05
566;0,001077465;-2,83446E-05;-0,000129703;-2,4041E-05
564;0,00108968;-2,89767E-05;-0,000127296;-2,53846E-05
562;0,001116401;-1,78334E-06;-0,000107894;-9,20317E-06
560;0,001119877;-2,19066E-05;-0,0001164;-1,50967E-05
558;0,001154411;-1,93756E-06;-0,000100526;-5,93645E-07
556;0,001169004;-1,17333E-05;-0,000109262;-1,54696E-05
554;0,001192921;4,82255E-06;-9,23586E-05;1,02366E-05
552;0,001210834;-1,08447E-06;-0,000105258;-3,05036E-06
550;0,001225664;-5,0767E-06;-0,000102605;-6,68135E-06
548;0,001254536;1,24223E-05;-9,78484E-05;6,21706E-06
546;0,001288906;2,07331E-05;-8,93472E-05;1,44499E-05
544;0,001317585;3,43802E-05;-8,04801E-05;2,27989E-05
542;0,001327418;0,000111544;3,31919E-05;2,30182E-06
540;0,001351646;1,65193E-05;-9,92194E-05;1,25394E-06
538;0,001381962;3,06868E-05;-8,89969E-05;1,65589E-06
536;0,001416898;2,89019E-05;-9,36516E-05;4,09928E-06
534;0,001457143;4,55104E-05;-8,61545E-05;1,47994E-05
532;0,001493968;4,50198E-05;-8,47956E-05;1,27839E-05
530;0,001541433;5,76871E-05;-8,20574E-05;1,25761E-05
528;0,001572786;4,75032E-05;-9,9103E-05;-4,39274E-06
526;0,001647585;6,66955E-05;-7,56731E-05;1,34033E-05
524;0,0016932;7,14787E-05;-9,18107E-05;9,10083E-06
522;0,001771272;7,63471E-05;-8,45985E-05;1,23107E-05
520;0,002044709;0,000291475;0,000124401;0,000208826
518;0,002001474;0,000222394;0,000142426;8,57023E-05
516;0,002047024;0,000133382;-5,11846E-05;2,75806E-05
514;0,002157362;0,000146322;-4,61834E-05;2,74642E-05
512;0,002291119;0,000164912;-3,66465E-05;3,33329E-05
510;0,002422912;0,000174186;-3,59872E-05;3,16536E-05
508;0,002567169;0,000200082;-3,23041E-05;3,46647E-05
506;0,002732894;0,000220867;-1,83598E-05;4,06351E-05
504;0,00289975;0,000243976;-2,3516E-05;3,72748E-05
502;0,003090938;0,000267623;-6,83284E-06;3,90854E-05
500;0,003274269;0,000286556;2,89438E-08;4,0133E-05
498;0,003471018;0,00031283;1,61331E-05;5,57976E-05
496;0,003663665;0,000334778;2,2931E-05;4,91667E-05
494;0,003844783;0,000361809;3,45887E-05;4,92701E-05
492;0,004029317;0,000387807;5,06015E-05;6,71703E-05
490;0,004197318;0,000415649;6,49115E-05;7,30405E-05
488;0,004341012;0,000421989;6,31796E-05;6,90854E-05
486;0,004464526;0,000431149;6,41755E-05;6,95508E-05
484;0,004570993;0,000441766;7,62728E-05;7,44105E-05
482;0,004640113;0,00044633;7,45406E-05;6,7637E-05
