time;AAN155Free;AAN155_Ba;solvent
0;0,00E+00;0,00E+00;0,00E+00
2,4414063;0,00E+00;0,00E+00;0,00E+00
4,8828125;0,00E+00;0,00E+00;0,00E+00
7,3242188;0,00E+00;0,00E+00;0,00E+00
9,765625;0,00E+00;0,00E+00;0,00E+00
12,207031;0,00E+00;0,00E+00;0,00E+00
14,648438;0,00E+00;0,00E+00;0,00E+00
17,089844;0,00E+00;0,00E+00;0,00E+00
19,53125;0,00E+00;0,00E+00;0,00E+00
21,972656;0,00E+00;0,00E+00;0,00E+00
24,414063;0,00E+00;0,00E+00;0,00E+00
26,855469;0,00E+00;0,00E+00;0,00E+00
29,296875;0,00E+00;0,00E+00;0,00E+00
31,738281;0,00E+00;0,00E+00;0,00E+00
34,179688;0,00E+00;0,00E+00;0,00E+00
36,621094;0,00E+00;0,00E+00;0,00E+00
39,0625;0,00E+00;0,00E+00;0,00E+00
41,503906;0,00E+00;0,00E+00;0,00E+00
43,945313;0,00E+00;0,00E+00;0,00E+00
46,386719;0,00E+00;1,00E+00;0,00E+00
48,828125;0,00E+00;1,00E+00;0,00E+00
51,269531;4,00E+00;1,00E+01;0,00E+00
53,710938;8,00E+00;2,80E+01;3,00E+00
56,152344;8,00E+00;2,20E+01;6,00E+00
58,59375;1,20E+01;2,70E+01;2,00E+00
61,035156;8,00E+00;3,50E+01;1,00E+00
63,476563;2,40E+01;1,60E+01;4,00E+00
65,917969;1,18E+03;8,60E+01;8,00E+00
68,359375;2,95E+04;2,03E+03;7,60E+01
70,800781;1,13E+05;1,07E+04;1,64E+02
73,242188;1,11E+05;1,41E+04;1,52E+02
75,683594;5,93E+04;1,13E+04;6,60E+01
78,125;2,93E+04;8,88E+03;3,60E+01
80,566406;1,41E+04;7,36E+03;1,40E+01
83,007813;6,92E+03;6,39E+03;1,20E+01
85,449219;3,63E+03;5,62E+03;7,00E+00
87,890625;1,88E+03;5,17E+03;5,00E+00
90,332031;1,18E+03;4,69E+03;7,00E+00
92,773438;7,80E+02;4,49E+03;4,00E+00
95,214844;6,05E+02;4,24E+03;3,00E+00
97,65625;5,37E+02;4,12E+03;4,00E+00
100,09766;4,65E+02;3,97E+03;2,00E+00
102,53906;4,08E+02;3,90E+03;3,00E+00
104,98047;3,72E+02;3,75E+03;1,00E+00
107,42188;4,13E+02;3,67E+03;1,00E+00
109,86328;3,99E+02;3,56E+03;3,00E+00
112,30469;3,74E+02;3,51E+03;5,00E+00
114,74609;3,79E+02;3,38E+03;3,00E+00
117,1875;3,88E+02;3,38E+03;8,00E+00
119,62891;3,69E+02;3,37E+03;5,00E+00
122,07031;3,67E+02;3,30E+03;4,00E+00
124,51172;3,43E+02;3,18E+03;4,00E+00
126,95313;3,91E+02;3,38E+03;3,00E+00
129,39453;3,78E+02;3,29E+03;1,00E+00
131,83594;3,52E+02;3,22E+03;2,00E+00
134,27734;3,58E+02;3,13E+03;3,00E+00
136,71875;3,64E+02;3,21E+03;4,00E+00
139,16016;3,52E+02;3,18E+03;2,00E+00
141,60156;3,40E+02;3,23E+03;4,00E+00
144,043;3,54E+02;3,16E+03;5,00E+00
146,48438;3,35E+02;3,11E+03;3,00E+00
148,92578;3,30E+02;3,11E+03;2,00E+00
151,36719;3,45E+02;3,13E+03;4,00E+00
153,80859;3,21E+02;3,09E+03;2,00E+00
156,25;2,90E+02;3,19E+03;2,00E+00
158,69141;3,12E+02;3,20E+03;3,00E+00
161,13281;3,13E+02;3,12E+03;1,00E+00
163,57422;3,36E+02;2,95E+03;1,00E+00
166,01563;3,26E+02;3,10E+03;3,00E+00
168,457;2,92E+02;3,13E+03;3,00E+00
170,89844;3,15E+02;3,04E+03;2,00E+00
173,33984;2,95E+02;3,04E+03;4,00E+00
